Purchasing Document,Company Code,Item category,Item category desc
7500096435,7200,0,Standard
7500096436,7100,9,Service
7500096437,7100,9,Service
7500096438,7100,9,Service
7500096439,7100,9,Service
7500096440,7100,9,Service
7500096441,7100,9,Service
7500096442,1100,9,Service
7500096443,1100,0,Standard
7500096444,1100,9,Service
7500096445,1100,9,Service
7500096446,1100,9,Service
7500096447,1100,9,Service
7500096448,1100,9,Service
7500096449,1100,9,Service
7500096450,1100,9,Service
7500096452,1100,0,Standard
7500096453,1100,0,Standard
7500096454,1100,0,Standard
7500096455,1100,0,Standard
7500096456,1100,0,Standard
7500096457,1100,0,Standard
7500096458,1100,0,Standard
7500096459,1100,0,Standard
7500096460,1100,0,Standard
7500096461,1100,0,Standard
7500096462,1100,9,Service
7500096464,1100,9,Service
7500096465,1100,9,Service
7500096466,1100,3,Subcontracting
7500096467,1100,3,Subcontracting
7500096468,1100,3,Subcontracting
7500096470,1100,3,Subcontracting
7500096471,1100,3,Subcontracting
7500096472,1100,3,Subcontracting
7500096473,1100,3,Subcontracting
7500096474,1100,0,Standard
7500096475,1100,3,Subcontracting
7500096476,1100,3,Subcontracting
7500096477,1100,3,Subcontracting
7500096478,1100,3,Subcontracting
7500096479,1100,3,Subcontracting
7500096480,1100,3,Subcontracting
7500096481,1100,0,Standard
7500096482,1100,0,Standard
7500096483,7300,0,Standard
7500096484,1100,9,Service
7500096485,7300,0,Standard
7500096486,7300,9,Service
7500096487,7300,0,Standard
7500096488,7300,0,Standard
7500096489,7300,9,Service
7500096490,7200,9,Service
7500096491,7300,3,Subcontracting
7500096492,7100,9,Service
7500096493,7300,0,Standard
7500096494,7100,9,Service
7500096495,7300,9,Service
7500096496,7100,9,Service
7500096497,7300,0,Standard
7500096498,7300,9,Service
7500096499,7200,3,Subcontracting
7500096500,7300,0,Standard
7500096501,7100,0,Standard
7500096502,7100,0,Standard
7500096503,7100,9,Service
7500096504,7100,9,Service
7500096505,7100,0,Standard
7500096506,7100,9,Service
7500096507,7300,0,Standard
7500096508,7100,0,Standard
7500096509,7300,0,Standard
7500096510,7300,0,Standard
7500096511,7300,0,Standard
7500096512,7100,9,Service
7500096513,7100,0,Standard
7500096514,7300,0,Standard
7500096515,7300,9,Service
7500096517,7300,9,Service
7500096518,7300,0,Standard
7500096519,7300,9,Service
7500096520,7300,9,Service
7500096521,7300,9,Service
7500096522,7300,9,Service
7500096523,7100,0,Standard
7500096524,7100,0,Standard
7500096525,7100,0,Standard
7500096526,7100,9,Service
7500096527,7100,0,Standard
7500096528,7200,0,Standard
7500096529,7200,0,Standard
7500096530,7200,0,Standard
7500096531,7100,9,Service
7500096532,7200,0,Standard
7500096533,7100,9,Service
7500096534,7100,0,Standard
7500096536,7100,9,Service
7500096537,7200,0,Standard
7500096538,7200,0,Standard
7500096540,7200,0,Standard
7500096541,7300,9,Service
7500096542,7100,0,Standard
7500096543,7100,0,Standard
7500096544,7100,0,Standard
7500096545,7300,0,Standard
7500096546,7300,0,Standard
7500096547,7300,0,Standard
7500096548,7100,0,Standard
7500096549,7100,0,Standard
7500096550,7100,0,Standard
7500096551,7100,0,Standard
7500096552,7100,0,Standard
7500096553,7100,0,Standard
7500096554,7100,0,Standard
7500096555,7100,0,Standard
7500096556,7100,0,Standard
7500096557,7100,0,Standard
7500096558,7300,0,Standard
7500096560,7100,0,Standard
7500096561,7100,0,Standard
7500096562,7300,0,Standard
7500096563,7300,0,Standard
7500096564,7300,0,Standard
7500096565,7100,0,Standard
7500096566,7300,0,Standard
7500096567,7100,0,Standard
7500096568,7100,0,Standard
7500096569,7200,0,Standard
7500096570,7100,0,Standard
7500096571,7100,0,Standard
7500096573,7200,0,Standard
7500096574,7200,0,Standard
7500096575,7200,0,Standard
7500096576,7100,0,Standard
7500096577,7200,0,Standard
7500096578,7100,0,Standard
7500096579,7100,0,Standard
7500096580,7100,0,Standard
7500096581,7200,0,Standard
7500096582,7200,0,Standard
7500096583,7200,0,Standard
7500096584,7200,0,Standard
7500096585,7200,0,Standard
7500096586,7200,0,Standard
